Model,Train R²,Test R²,RMSE
Linear Regression,0.9448338026820973,0.9452579584529239,1609.389748473299
Ridge Regression,0.9448336367200665,0.9452597580041439,1609.3632952848031
Random Forest,0.9996728741812193,0.9976890901214344,330.66805449940733
XGBoost,0.9986448307334327,0.9979518351964184,311.3029133307688
XGBoost_CV,0.9972573321816719,0.9971067950392661,369.9902981524623
