Model,Train R²,Test R²,RMSE
Linear Regression,0.5983128305292287,0.6018778366357369,1739.994103614952
Ridge Regression,0.5983123757915163,0.6018873874257726,1739.9732326115968
Random Forest,0.9243027327724554,0.5409414840908815,1868.4161953222306
XGBoost,0.7255523179982791,0.5656149207959897,1817.511002083863
XGBoost_CV,0.6043641752626508,0.6035576927487027,1736.3193150430727
