Model,Train R²,Test R²,RMSE
Linear Regression,0.9853451858675878,0.9858485253955933,328.05030591358667
Ridge Regression,0.9853445894443964,0.9858479819389063,328.0566048833338
Random Forest,0.9980414605200523,0.9868892285332198,315.7575346576768
XGBoost,0.9925027937917946,0.9877366059527609,305.38305861167316
