Model,Train R²,Test R²,RMSE
Linear Regression,0.9234624033951362,0.92434728348366,2330.622885164639
Ridge Regression,0.923462365615788,0.9243469064345383,2330.628693007751
Random Forest,0.996575012325669,0.9793161179811094,1218.6409537861184
XGBoost,0.9860914503139925,0.9810541024158544,1166.3189600049825
XGBoost RandomizedCV,0.9814944975604472,0.9813626919290603,1156.781501568789
