Model,Train R²,Test R²,RMSE
Linear Regression,0.9448338026820973,0.9452579584529239,1609.3897484732993
Ridge Regression,0.9448336367200665,0.9452597580041439,1609.363295284803
Random Forest,0.9996737091602398,0.9976880899947206,330.7396008162859
XGBoost,0.9986448307334327,0.9979518351964184,311.3029133307688
XGBoost Randomized,0.9972573321816719,0.9971067950392661,369.9902981524623
